Company Code;G/L Account;G/L Account Name;Assignment Reference;Journal Entry;Journal Entry Type;JE Type Name;Posting Date;Amount in Company Code Currency;Clearing Journal Entry;Clearing Date;Profit Center;Profit Center Name;Partner Profit Center;Customer;Name of Customer;Journal Entry Item Text;Journal Entry Date;Jrnl Entry Creation Date in Server Time;Journal Entry Created By;Offsetting Account;Offsetting Acct Name;Fiscal Period;Name of Supplier;Supplier;Creation Time;Trading Partner;Functional Area;Functional Area Name;Cost Center;Cost Center Name;WBS Element;Purchasing Document;Order ID;Work Item ID;Reference Key 3
1711 (Delek Logistics Partners);63003300 (Chemical Expense);ChemicalExpense;Inv 6660102980;1020005252;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 54.016,60   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Accrue Feb26 Chem Exp-ChampionX;09/03/2026;09/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;09/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301700 (Contract Services -Mechanical Integrity Inspection);CS - Mechanical;20260201;1020096658;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 47.472,66   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;Apave America Inc (142166-Apave America Inc);04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;P4/JIB Accrual;1020005015;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 47.172,93   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Jan Accrual - Iden;31/01/2026;04/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;04/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63003300 (Chemical Expense);ChemicalExpense;Inv 6660103311;1020005252;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 45.717,59   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Accrue Feb26 Chem Exp-ChampionX;09/03/2026;09/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;09/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301200 (Contract Services - Professional Consulting);CS - Professional Co;20260201;1020096658;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 45.500,00   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;BECHT ENGINEERING CO INC (137496-BECHT ENGINEERING;04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
1711 (Delek Logistics Partners);63003300 (Chemical Expense);ChemicalExpense;Inv 6660103438;1020005252;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 45.356,97   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Accrue Feb26 Chem Exp-ChampionX;09/03/2026;09/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;09/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);61010000 (Payroll - Salaried Labor);PayrollSalariedLabor;2002000086;2620000221;YQ (EC-Payroll Acc Posti);EC-Payroll Acc Posti;01/01/2026;- 44.133,45   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;;31/12/2025;31/12/2025;AROKADE;21501000 (Accrued Net Payroll);Accrued Net Payroll;001;;;31/12/2025 01:25;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;P4/JIB Accrual;1020004819;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 41.413,92   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Dec Accrual - Fairview;02/01/2026;05/01/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;001;;;05/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;P4/JIB Accrual;1020005015;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 39.784,74   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Jan Accrual - Fairview;31/01/2026;04/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;04/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63003300 (Chemical Expense);ChemicalExpense;Inv 6660103855;1020005252;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 36.065,27   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Accrue Feb26 Chem Exp-ChampionX;09/03/2026;09/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;09/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;P4/JIB Accrual;1020005172;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 35.687,19   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Feb26 Accrual - Iden;28/02/2026;02/03/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;003;;;02/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);66000400 (Third Party Trucking Expense);Third Party Trucking;Relcass to COGS;1010009461;AB (Journal Entry);Journal Entry;31/01/2026;- 35.638,58   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Reclass Third Party Trucking Exps to COGS;11/02/2026;11/02/2026;JOHARRIS;50010100 (COS - Water Disposal);COS - Water Disposal;001;;;11/02/2026 10:57;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63003300 (Chemical Expense);ChemicalExpense;Inv 6660102700;1020005252;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 34.859,27   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Accrue Feb26 Chem Exp-ChampionX;09/03/2026;09/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;09/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;P4/JIB Accrual;1020005172;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 27.783,83   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Feb26 Accrual - Fairview;28/02/2026;02/03/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;003;;;02/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301400 (Contract Services - Contractors);CS - Contractors;Tube X-ray Coverag;1020092448;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 26.043,60   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;FIXED EQUIPMENT RELIABILITY LLC;03/02/2026;03/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;03/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
1711 (Delek Logistics Partners);67000800 (Right Of Way Expense);Right of Way Expense;Royalty Settlement;1020004856;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 23.919,00   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Accrue Royalty Termination Settlement;07/01/2026;07/01/2026;FIBATCH;21102300 (A/POther);A/POther;001;;;07/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65000600 (Materials - Internal);Materials - Internal;4010100087;5100078759;RE (Invoice - Gross);Invoice - Gross;09/01/2026;- 22.791,03   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;SHAFT:STD,ASSEMBLY;16/12/2025;09/01/2026;SAP_WFRT;21120000 (GR/IR);GR/IR;001;;;09/01/2026 14:15;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;6000075960;;;202650004457710001
1710 (Delek US Holdings, Inc.);65301400 (Contract Services - Contractors);CS - Contractors;185923;1020096650;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 17.500,00   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;RELIABILITY TESTING SERVICES LLC (114250-RELIABILI;04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1710 (Delek US Holdings, Inc.);65000600 (Materials - Internal);Materials - Internal;;2300358912;CO (Secondary Cost);Secondary Cost;31/01/2026;- 16.849,68   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);20022001 (EDR -Refinery (Lion));;;CTR A000/2002000086;04/02/2026;04/02/2026;LGREENE;65000600 (Materials - Internal);Materials - Internal;001;;;04/02/2026 17:20;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1711 (Delek Logistics Partners);61052000 (Group Insurance);Group Insurance;;2400000139;CC (Sec. Cost CrossComp.);Sec. Cost CrossComp.;31/01/2026;- 16.702,88   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;10180001 (DK Logistics Servc.);;;GRAVITY   GRAVITY PAY ROLL DISTRIBUTION;09/02/2026;09/02/2026;DROJO;INC1710 (Delek US Holdings, Inc.);Delek US Holdings, Inc.;001;;;09/02/2026 18:12;LC1710;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65003200 (Repairs & Maint - Other);Repairs & Maint - Ot;P4/JIB Accrual;1020004819;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 15.588,46   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Dec Accrual - Fairview;02/01/2026;05/01/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;001;;;05/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);61010000 (Payroll - Salaried Labor);PayrollSalariedLabor;2002000086;2620000225;YQ (EC-Payroll Acc Posti);EC-Payroll Acc Posti;01/02/2026;- 15.576,50   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;;28/01/2026;28/01/2026;AROKADE;21501000 (Accrued Net Payroll);Accrued Net Payroll;002;;;28/01/2026 00:53;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1710 (Delek US Holdings, Inc.);61010000 (Payroll - Salaried Labor);PayrollSalariedLabor;2002000086;2620000229;YQ (EC-Payroll Acc Posti);EC-Payroll Acc Posti;01/03/2026;- 15.576,50   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;;25/02/2026;25/02/2026;ATATE;21501000 (Accrued Net Payroll);Accrued Net Payroll;003;;;25/02/2026 01:57;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;Rcl Vital Cox-COGS;1010009419;AB (Journal Entry);Journal Entry;31/01/2026;- 15.500,00   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Reclass Vital Cox 3rd Party Disposal to COGS;09/02/2026;09/02/2026;JOHARRIS;50010100 (COS - Water Disposal);COS - Water Disposal;001;;;09/02/2026 09:31;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65003200 (Repairs & Maint - Other);Repairs & Maint - Ot;P4/JIB Accrual;1020005015;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 13.716,00   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Jan Accrual - Fairview;31/01/2026;04/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;04/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63001000 (Electricity and other Utilities);Electricity&Utilitie;P4/JIB Accrual;1020005172;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 13.284,72   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Feb26 Accrual - Iden;28/02/2026;02/03/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;003;;;02/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63001000 (Electricity and other Utilities);Electricity&Utilitie;P4/JIB Accrual;1020005015;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 13.144,57   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Jan Accrual - Iden;31/01/2026;04/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;04/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301400 (Contract Services - Contractors);CS - Contractors;Track po62-6673;1020096650;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 12.484,04   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;FIXED EQUIPMENT RELIABILITY LLC;04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
1711 (Delek Logistics Partners);63001000 (Electricity and other Utilities);Electricity&Utilitie;P4/JIB Accrual;1020004819;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 11.858,48   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Dec Accrual - Iden;02/01/2026;05/01/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;001;;;05/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301700 (Contract Services -Mechanical Integrity Inspection);CS - Mechanical;20260201;1020096658;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 11.750,00   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;Apave America Inc (142166-Apave America Inc);04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1711 (Delek Logistics Partners);61052000 (Group Insurance);Group Insurance;;2400000143;CC (Sec. Cost CrossComp.);Sec. Cost CrossComp.;31/03/2026;- 11.118,18   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;10180001 (DK Logistics Servc.);;;GRAVITY   GRAVITY PAY ROLL DISTRIBUTION;09/04/2026;09/04/2026;AMCKEWAN;INC1710 (Delek US Holdings, Inc.);Delek US Holdings, Inc.;003;;;09/04/2026 23:09;LC1710;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);69000200 (Property Tax Expense);Property Tax Expense;2026 PropTaxAcc;1010009438;AR (Auto Recurring Doc);Auto Recurring Doc;31/01/2026;- 11.088,10   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;2026 PropTaxAcc;01/01/2026;10/02/2026;JOHARRIS;21601100 (Property Tax Payable);Property Tax Payable;001;;;10/02/2026 08:34;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301700 (Contract Services -Mechanical Integrity Inspection);CS - Mechanical;Track po62-6019;1020088366;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 11.082,01   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;FIXED EQUIPMENT RELIABILITY LLC;08/01/2026;08/01/2026;FIBATCH;21102300 (A/POther);A/POther;001;;;08/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
1711 (Delek Logistics Partners);61052000 (Group Insurance);Group Insurance;;2400000141;CC (Sec. Cost CrossComp.);Sec. Cost CrossComp.;28/02/2026;- 11.033,38   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;10180001 (DK Logistics Servc.);;;GRAVITY   GRAVITY PAY ROLL DISTRIBUTION;09/03/2026;09/03/2026;DROJO;INC1710 (Delek US Holdings, Inc.);Delek US Holdings, Inc.;002;;;09/03/2026 15:52;LC1710;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;Track po62-6575;1020096650;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 10.459,37   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;DIVERSIFIED CONSTRUCTION SERVICES;04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
1710 (Delek US Holdings, Inc.);65301700 (Contract Services -Mechanical Integrity Inspection);CS - Mechanical;Track po62-4605;1020088366;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 9.567,23   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;FIXED EQUIPMENT RELIABILITY LLC;08/01/2026;08/01/2026;FIBATCH;21102300 (A/POther);A/POther;001;;;08/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024001;;;;
