Company Code;G/L Account;G/L Account Name;Assignment Reference;Journal Entry;Journal Entry Type;JE Type Name;Posting Date;Amount in Company Code Currency;Clearing Journal Entry;Clearing Date;Profit Center;Profit Center Name;Partner Profit Center;Customer;Name of Customer;Journal Entry Item Text;Journal Entry Date;Jrnl Entry Creation Date in Server Time;Journal Entry Created By;Offsetting Account;Offsetting Acct Name;Fiscal Period;Name of Supplier;Supplier;Creation Time;Trading Partner;Functional Area;Functional Area Name;Cost Center;Cost Center Name;WBS Element;Purchasing Document;Order ID;Work Item ID;Reference Key 3
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028840;AB (Journal Entry);Journal Entry;28/02/2026;- 207.336,75   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 02.03.2026;24/02/2026;24/02/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;002;;;2026-02-24 18:25:05;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1711 (Delek Logistics Partners);61010000 (Payroll - Salaried Labor);PayrollSalariedLabor;4020100019;1040000292;RC (Reclass Document);Reclass Document;31/01/2026;- 197.113,58   USD;;;40201002 (SHARED SERVICES);SHARED SERVICES;10020001 (DELEK US ENERGY, INC);;;CC Reclass - Allocation Change;10/02/2026;11/02/2026;AKNECHT;INC1710 (Delek US Holdings, Inc.);Delek US Holdings, Inc.;001;;;2026-02-11 14:41:00;LC1710;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";4020100019 (CORP ADMIN);CORP ADMIN;;;;;
1710 (Delek US Holdings, Inc.);65200000 (Other Supplies);Other Supplies;1002000004;1040005600;RC (Reclass Document);Reclass Document;31/03/2026;- 194.642,44   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;Trading & Supply Subs FA RC GA to Opex;12/03/2026;13/03/2026;DROJO;65200000 (Other Supplies);Other Supplies;003;;;2026-03-13 11:01:16;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028334;AB (Journal Entry);Journal Entry;31/01/2026;- 193.257,56   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 01.21.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:50:26;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029437;AB (Journal Entry);Journal Entry;31/03/2026;- 182.289,32   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 02.26.2026;27/03/2026;27/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-27 15:49:10;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029439;AB (Journal Entry);Journal Entry;31/03/2026;- 181.169,52   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.17.2026;27/03/2026;27/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-27 15:46:23;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029412;AB (Journal Entry);Journal Entry;31/03/2026;- 175.910,95   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.03.2026;25/03/2026;25/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-25 16:28:43;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020088259;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 175.000,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;SOW Anticipated Expense - OS Tax Policy Review thr;06/01/2026;07/01/2026;FIBATCH;21102300 (A/POther);A/POther;001;;;2026-01-07 21:33:27;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020092652;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 175.000,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;SOW Anticipated Expense - OS Tax Policy Review thr;06/02/2026;06/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;2026-02-06 21:33:34;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020096744;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 175.000,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;SOW Anticipated Expense - OS Tax Policy Review thr;05/03/2026;06/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;2026-03-06 21:33:26;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029418;AB (Journal Entry);Journal Entry;31/03/2026;- 161.823,29   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.13.2026;25/03/2026;25/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-25 16:27:02;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028840;AB (Journal Entry);Journal Entry;28/02/2026;- 154.726,09   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051003 (Crude Wholesale-US);;;CASS Reallocation 02.03.2026;24/02/2026;24/02/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;002;;;2026-02-24 18:25:05;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028330;AB (Journal Entry);Journal Entry;31/01/2026;- 153.126,10   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051003 (Crude Wholesale-US);;;CASS Reallocation 01.22.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:05:14;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;PWC;1020096744;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 150.000,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;Tax Year 2025 Federal and State income tax filings;05/03/2026;06/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;2026-03-06 21:33:26;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);61010000 (Payroll - Salaried Labor);PayrollSalariedLabor;1002000004;2620000221;YQ (EC-Payroll Acc Posti);EC-Payroll Acc Posti;01/01/2026;- 149.830,27   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;;31/12/2025;31/12/2025;AROKADE;21501000 (Accrued Net Payroll);Accrued Net Payroll;001;;;2025-12-31 01:25:58;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028337;AB (Journal Entry);Journal Entry;31/01/2026;- 147.608,13   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051010 (Feedstocks);;;CASS Reallocation 01.07.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:52:17;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029620;AB (Journal Entry);Journal Entry;31/03/2026;- 143.643,98   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.26.2026;01/04/2026;01/04/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-04-01 13:04:10;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028334;AB (Journal Entry);Journal Entry;31/01/2026;- 141.815,28   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;20022001 (EDR -Refinery (Lion));;;CASS Reallocation 01.21.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:50:26;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028336;AB (Journal Entry);Journal Entry;31/01/2026;- 139.336,48   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051007 (WHOLESALE);;;CASS Reallocation 01.26.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:51:48;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028884;AB (Journal Entry);Journal Entry;28/02/2026;- 133.635,99   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 02.24.2026;27/02/2026;02/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;002;;;2026-03-02 08:46:33;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
